KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-v˝mÏra;Vinice(4)-v˝mÏra;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-v˝mÏra;DOMY_S_CP;STAVBY_S_CE;LV
602710;Borek u Tachova;637;4455931;1879935;0;0;11983;0;280183;1469814;176208;22497;615311;20;139;190
602728;Dehetn·;511;4974649;1439114;0;0;33048;0;445231;2159173;477479;27354;393250;14;59;94
602736;Strachovice u Bernartic;401;3243566;1459441;0;0;40466;0;1062717;491205;19060;27469;143208;21;1;45
602744;BeËkov;1212;3449488;850231;0;0;13783;0;1137833;930082;94;22826;494639;23;19;87
602752;Bernartice;2886;10703697;2704373;0;0;158687;0;2717798;3995696;34007;131542;961594;226;46;529
602761;Kr·lovec;1059;9947945;4329067;0;0;54580;0;1552321;2946336;44626;85434;935581;87;5;198
602779;K¯enov u éaclÈ¯e;1054;3779644;427304;0;0;25605;16427;1479939;1293162;56892;32123;448192;40;22;121
602787;Lampertice;1688;5840720;2005696;0;0;137137;6276;1695411;847914;49561;151965;946760;149;12;254
602825;Bernartice u JavornÌka;1721;18656432;16203220;0;0;344761;0;540195;273590;218434;270895;805337;220;1;313
602833;Bukov· u Bernartic;646;5903275;3874818;0;0;67570;0;1188985;400837;52294;69437;249334;50;2;82
602841;HornÌ He¯manice u Bernartic;358;3956587;2642555;0;0;40244;3963;87686;924511;50106;39991;167531;32;1;49
602850;Bernartice nad Odrou;2597;9574842;5138563;0;0;414883;0;1295879;1912866;188467;151669;472515;301;18;546
602868;Beroun;16792;23940708;3369367;0;0;1224927;401528;1236158;10140871;511985;1423657;5632215;2830;286;9935
603074;Zdejcina;1106;1957967;477861;0;0;107363;10602;414499;697691;2504;28741;218706;82;62;251
603091;Jarov u Berouna;606;2254631;1067611;0;0;42801;11377;332588;268028;1400;42276;488550;78;0;129
603104;BÏrunice;708;6975512;5129712;0;0;114575;13007;34093;1129747;65227;121140;368011;203;0;470
603112;BÏruniËky;810;4515376;4160500;0;0;31819;6652;12116;0;73880;46875;183534;41;0;215
603121;KnÏûiËky;495;11870532;3123237;0;0;83872;35142;69755;7419140;390741;83264;665381;103;0;240
603155;Slibovice;511;3307087;3013293;0;0;36908;4350;19844;5952;38914;50127;137699;29;0;217
603163;VelkÈ V˝kleky;1024;4184181;3770307;0;0;74276;20481;1945;0;47749;92045;177378;101;0;310
603171;Vlkov nad Lesy;957;7659950;3935272;0;0;15916;648081;94691;2452168;113834;49176;350812;60;0;302
603180;BÏ¯Ìn;427;3079835;251355;0;0;63055;0;292707;2348721;662;21781;101554;36;6;67
603198;Bakov;442;2157819;1475906;0;0;20915;17005;128471;123449;21149;28667;342257;40;7;125
